name,condition_id
Syphillis',60562461c2774c4fbc795307206dc6ea'
Ascariasis',b5ade7bbc88c4c63aafa88468d3964fd'
Nocardiosis',25fad79e4e5c4ee686b82d1a61b06a0c'
Group B streptococcal infection',f974ee0add0a4eb198cd5ed12908b27a'
Pyoderma gangrenosum',fc2c6ca55e30426a88eb5a04e3c4619c'
Barber's itch',b369f5199bae458ba048c5f27c0664e1'
Whitmore's disease',46774c4702bf4f8e8f1de9cfa0c522a2'
Pemphigus',a7f18c6396a94ebab1e1735a129d1ab1'
Stomach ulcers',f37c6bd0fae44a7dbca3b6b2b8827536'
AIDS',dcab0575903142df877e9bada0b84398'
HIV',dcab0575903142df877e9bada0b84398'
