uid,name,type,population,avg_income,gdp
7ec580bccb3711e8a8d5f2801f1b9fd1',United States',Country',57230000000,"57,230","17,300"
7ec583b4cb3711e8a8d5f2801f1b9fd1',India',Country',17230000000,"17,230",22000
7ec58602cb3711e8a8d5f2801f1b9fd1',Canada',Country',67230000000,"67,230",11000
7ec58756cb3711e8a8d5f2801f1b9fd1',United Kingdom',Country',47230000000,"47,230",13203
7ec58882cb3711e8a8d5f2801f1b9fd1',Finland',Country',37230000000,"37,230",234
7ec58a44cb3711e8a8d5f2801f1b9fd1',Russia',Country',37230000000,"37,230",24333
7ec58c38cb3711e8a8d5f2801f1b9fd1',Australia',Country',17230000000,"17,230",120
7ec58e54cb3711e8a8d5f2801f1b9fd1',Qatar',Country',27230000000,"27,230",1334
7ec58f8acb3711e8a8d5f2801f1b9fd1',Brazil',Country',32000000000,"32,000",9834
7ec59192cb3711e8a8d5f2801f1b9fd1',Chile',Country',2000000000,"2,000",1038
9bee0f8ccb3811e8a8d5f2801f1b9fd1',Florida',State',77230000000,"77,230",2000
9bee10eacb3811e8a8d5f2801f1b9fd1',Maine',State',87230000000,"87,230",1000
9bee127acb3811e8a8d5f2801f1b9fd1',New Hampshire',State',47230000000,"47,230",3203
9bee17e8cb3811e8a8d5f2801f1b9fd1',Alaska',State',97230000000,"97,230",234
9bee1996cb3811e8a8d5f2801f1b9fd1',Alabama',State',47230000000,"47,230",4333
9bee1ad6cb3811e8a8d5f2801f1b9fd1',Texas',State',87230000000,"87,230",120
9bee1c0ccb3811e8a8d5f2801f1b9fd1',California',State',97230000000,"97,230",334
9bee201ccb3811e8a8d5f2801f1b9fd1',New York',State',42000000000,"42,000",934
9bee2288cb3811e8a8d5f2801f1b9fd1',New Jersey',State',1.21E+11,"121,000",38
