1,AL,Alabama,state,4779736,37508,210954
2,AK,Alaska,state,710231,63610,52789
3,AZ,Arizona,state,6392017,39583,319850
4,AR,Arkansas,state,2915918,36714,124918
5,CA,California,state,37253956,60359,2746873
6,CO,Colorado,state,5029196,54026,342748
7,CT,Connecticut,state,3574097,62633,260827
8,DE,Delaware,state,897934,63955,73541
9,DC,District of Columbia,state,601723,159607,131010
10,FL,Florida,state,18801310,39842,967337
11,GA,Georgia,state,9687653,45925,554269
12,HI,Hawaii,state,1360301,52869,88136
13,ID,Idaho,state,1567582,36441,71886
14,IL,Illinois,state,12830632,55102,820362
15,IN,Indiana,state,6483802,46427,359122
16,IA,Iowa,state,3046355,52284,190191
17,KS,Kansas,state,2853118,47435,157797
18,KY,Kentucky,state,4339367,39277,202507
19,LA,Louisiana,state,4533372,44372,246264
20,ME,Maine,state,1328361,39521,61404
21,MT,Maryland,state,5773552,56375,393632
22,NE,Massachusetts,state,6547629,66500,527455
23,NV,Michigan,state,9883640,44201,504967
24,NH,Minnesota,state,5303925,54805,351113
25,NJ,Mississippi,state,2967297,32447,111707
26,NM,Missouri,state,5988927,43036,304898
27,NY,Montana,state,989415,39833,48098
28,NC,Nebraska,state,1826341,54654,121774
29,ND,Nevada,state,2700551,44812,156313
30,OH,New Hampshire,state,1316470,52509,80516
31,OK,New Jersey,state,8791894,56776,591743
32,OR,New Mexico,state,2059179,41619,97090
33,MD,New York,state,19378102,65220,1547116
34,MA,North Carolina,state,9535483,44706,538291
35,MI,North Dakota,state,672591,64911,55493
36,MN,Ohio,state,11536504,48188,649127
37,MS,Oklahoma,state,3751351,44535,189160
38,MO,Oregon,state,3831074,51312,236219
39,PA,Pennsylvania,state,12702379,51841,752071
40,RI,Rhode Island,state,1052567,48314,59458
41,SC,South Carolina,state,4625364,37637,219093
42,SD,South Dakota,state,814180,48004,49928
43,TN,Tennessee,state,6346105,44348,345218
44,TX,Texas,state,25145561,53737,1696206
45,UT,Utah,state,2763885,45493,165526
46,VT,Vermont,state,625741,44831,32197
47,VA,Virginia,state,8001024,52124,508662
48,WA,Washington,state,6724540,59333,506353
49,WV,West Virginia,state,1852994,37353,76794
50,WI,Wisconsin,state,5686986,48666,324061
51,WY,Wyoming,state,563626,61091,40286
1001,AFG,Afghanistan,country,34124811,2000,69550000000
1002,ALB,Albania,country,3047987,12500,35970000000
1003,DZA,Algeria,country,40969443,15200,632900000000
1004,ASM,American Samoa,country,51504,11200,658000000
1005,AND,Andorra,country,76965,49900,3327000000
1006,AGO,Angola,country,29310273,6800,190300000000
1007,AIA,Anguilla,country,17087,12200,175400000
1008,ATG,Antigua and Barbuda,country,94731,26300,2393000000
1009,ARG,Argentina,country,44293293,20900,920200000000
1010,ARM,Armenia,country,3045191,9500,28280000000
