Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,TopicID,LocationID,Location 1
2014,MN,Minnesota,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,68.2,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,27,"(46.3159, -94.3068)"
2014,NH,New Hampshire,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,71.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,33,"(43.6834, -71.5794)"
2014,KY,Kentucky,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,75.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,21,"(37.5266, -85.29)"
2014,GA,Georgia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,77.2,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,American Indian and Alaskan Native,T2,13,"(32.6549, -83.4547)"
2014,AL,Alabama,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,79.8,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,1,"(32.7949, -86.8267)"
2014,AL,Alabama,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,80.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,1,"(32.7949, -86.8267)"
2014,MS,Mississippi,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,81.3,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,28,"(32.7577, -89.6646)"
2014,GA,Georgia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,86,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,13,"(32.6549, -83.4547)"
2014,IA,Iowa,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,86.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,19,"(42.076, -93.5022)"
2014,MA,Massachusetts,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,91.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,25,"(42.2573, -71.8024)"
2014,NC,North Carolina,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,92.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,37,"(35.5475, -79.4019)"
2014,AR,Arkansas,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,94.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,American Indian and Alaskan Native,T2,5,"(34.8982, -92.434)"
2014,TN,Tennessee,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,94.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,47,"(35.8465, -86.3351)"
2014,IN,Indiana,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,97.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,American Indian and Alaskan Native,T2,18,"(39.9128, -86.2757)"
2014,MS,Mississippi,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,97.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,28,"(32.7577, -89.6646)"
2014,TX,Texas,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,98.2,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,American Indian and Alaskan Native,T2,48,"(31.4906, -99.3517)"
2014,NC,North Carolina,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,100.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,37,"(35.5475, -79.4019)"
2014,MD,Maryland,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,100.8,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,24,"(39.0648, -76.82)"
2014,NJ,New Jersey,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,100.8,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,American Indian and Alaskan Native,T2,34,"(40.1987, -74.6768)"
2014,KY,Kentucky,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,103.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,21,"(37.5266, -85.29)"
2014,IL,Illinois,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,104.2,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,American Indian and Alaskan Native,T2,17,"(40.0644, -89.2034)"
2014,SC,South Carolina,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,106,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,45,"(33.9187, -80.9014)"
2014,AR,Arkansas,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,106.4,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,5,"(34.8982, -92.434)"
2014,NC,North Carolina,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,107.8,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,37,"(35.5475, -79.4019)"
2014,MS,Mississippi,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,108.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,male,Race/Ethnicity,Hispanic,T2,28,"(32.7577, -89.6646)"
2014,VA,Virginia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,108.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,51,"(37.5188, -78.8507)"
2014,DE,Delaware,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,108.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,10,"(38.9952, -75.5014)"
